"No.","Time","Source","Destination","Protocol","Length","Info"
"72","34","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2721 Ack=1 Win=65536 Len=80 TSval=117266935 TSecr=117265934 [TCP segment of a reassembled PDU]"
"73","34","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2801 Win=65408 Len=0 TSval=117266935 TSecr=117266935"
"74","35","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2801 Ack=1 Win=65536 Len=80 TSval=117267936 TSecr=117266935 [TCP segment of a reassembled PDU]"
"75","35","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2881 Win=65408 Len=0 TSval=117267936 TSecr=117267936"
"76","36","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2881 Ack=1 Win=65536 Len=80 TSval=117268936 TSecr=117267936 [TCP segment of a reassembled PDU]"
"77","36","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2961 Win=65408 Len=0 TSval=117268936 TSecr=117268936"
"78","37","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2961 Ack=1 Win=65536 Len=80 TSval=117269937 TSecr=117268936 [TCP segment of a reassembled PDU]"
"79","37","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3041 Win=65408 Len=0 TSval=117269937 TSecr=117269937"
"80","38","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3041 Ack=1 Win=65536 Len=80 TSval=117270938 TSecr=117269937 [TCP segment of a reassembled PDU]"
"81","38","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3121 Win=65408 Len=0 TSval=117270938 TSecr=117270938"
"82","39","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3121 Ack=1 Win=65536 Len=80 TSval=117271939 TSecr=117270938 [TCP segment of a reassembled PDU]"
"83","39","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3201 Win=65408 Len=0 TSval=117271939 TSecr=117271939"
"84","40","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=3201 Ack=1 Win=65536 Len=80 TSval=117272941 TSecr=117271939 [TCP segment of a reassembled PDU]"
"85","40","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=3281 Win=65408 Len=0 TSval=117272941 TSecr=117272941"
